,Адсорбент,"Tрег, ᵒС
","W0, см3/г","E0, кДж/ моль","х0, нм","а0, ммоль/г","E,  кДж/моль","SБЭТ, м2/г","Ws, см3/г","Sme, м2/г","Wme, см3/г",Номер образца,Металл,Лиганд,Растворитель,"m (соли), г","m(кис-ты), г","Vсин. (р-ля), мл","Т.син., °С","Vпр. (р-ля), мл","Т суш., °С",m образца
34,MOF#91,140,0.37,16.38,0.73,10.73,5.4,805.2,0.92,131.8,0.55,91,Fe,BTC,ДМФА,1.212,0.63,36.0,140,150,150.0,0.922
35,MOF#93,150,0.42,16.0,0.75,12.07,5.28,915.5,0.9,136.4,0.48,93,Fe,BTC,ДМФА,1.212,0.63,36.0,150,150,150.0,0.979
36,MOF#97,150,0.45,15.49,0.77,12.87,5.11,1006.8,0.84,118,0.39,97,Fe,BTC,ДМФА,1.212,0.63,40.0,150,150,140.0,1.267
37,MOF#99,140,0.34,15.16,0.79,9.69,5.0,881.4,0.94,175.6,0.5999999999999999,99,Fe,NH2-BDC,ДМФА,0.808,0.5436,24.0,140,250,140.0,0.1536
38,MOF#105,140,0.7,14.2,0.84,20.08,4.69,1729.5,1.49,174.1,0.79,105,Fe,BDC,ДМФА,0.8085,0.4981,24.0,140,150,140.0,0.723
43,MOF#112,130,0.66,13.69,0.88,18.93,4.52,1710.8,1.14,136.4,0.4799999999999999,112,Fe,BDC,ДМФА,0.8085,0.498,24.0,130,150,130.0,0.647
44,MOF#114,130,0.79,13.78,0.87,22.76,4.55,1978.5,1.25,124.1,0.46,114,Fe,BDC,ДМФА,0.808,0.498,24.0,130,150,140.0,0.98
45,MOF#115,130,0.2,17.8,0.67,5.85,5.87,483.7,0.66,149.8,0.46,115,Fe,BDC,ДМФА,0.809,0.499,24.0,130,150,140.0,0.603
46,MOF#106,140,0.34,14.23,0.84,9.79,4.7,852.4,0.67,82.7,0.33,106,Fe,BDC,ДМФА,0.8082,0.4983,24.0,140,150,140.0,0.516
47,MOF#116,140,0.48,15.28,0.79,13.82,5.04,1148.0,1.02,89.9,0.54,116,Fe,BDC,ДМФА,0.808,0.498,24.0,140,150,140.0,0.593
